;Справочник состояний документа
КодСостоян;НазвСост.
1;ВЫДАН
2;ИЗГОТОВЛЕН
3;ПОДДЕЛАН
4;ПОХИЩЕН
5;УТЕРЯН
6;НАЙДЕН
7;АННУЛИРОВАН
8;ИСПОРЧЕН
9;ВЫДАН СОТРУДНИКУ
10;УНИЧТОЖЕН
11;ПРИОСТАНОВЛЕН
12;ПОЛУЧЕН
13;ВОЗВРАЩЕН
14;НЕВОСТРЕБОВАН
15;СПИСАН
16;ЗАМЕНЕН
17;ИЗЪЯТ
18;ИСПОРЧЕН ПРИ ОФОРМЛЕНИИ
;
