;Справочник образования
КодОбразов;НазвОбраз.
1;ДОШКОЛЬНОЕ
2;НАЧАЛЬНОЕ ОБЩЕЕ
3;НЕЗАКОНЧЕН. СРЕДНЕЕ
4;СРЕДНЕЕ ПОЛНОЕ ОБЩЕЕ
5;СРЕДНЕЕ СПЕЦИАЛЬНОЕ
6;НЕПОЛНОЕ ВЫСШЕЕ
7;ВЫСШЕЕ
8;ОСНОВНОЕ ОБЩЕЕ
9;НАЧАЛЬНОЕ ПРОФЕСИОН.
10;СРЕДНЕЕ ПРОФЕСИОН.
11;ПОСЛЕВУЗОВСКОЕ
;
