;Таблицы;
SOBT_ADM;АДМПРОТОКОЛЫ ПО СОБЫТИЮ;10
S_AIPS4;ВИДЫ ОРУЖИЯ АИПС В ЕРМАК4;100
S_AVTO4;ТИПЫ МАШИН В ЕРМАК4;100
S_COLOR;СПРАВОЧНИК ЦВЕТОВ;100
S_DOC4;ТИПЫ ДОКУМЕНТОВ В ЕРМАК4;100
S_ERMAK4;ЭКСПОРТИРУЕМЫЕ СПРАВОЧНИКИ;0
S_GRKR4;ГРУППЫ КРОВИ В ЕРМАК4;100
S_KADAST;МОДЕЛИ ОРУЖИЯ В АИПС;100
S_KALIBR;СПРАВОЧНИК КАЛИБРОВ;100
S_KLBAIP;КАЛИБРЫ В АИПС;100
S_KTG4;КАТЕГОРИИ УЧЕТА В ЕРМАК4;100
S_KTGL4;КАТЕГОРИИ ЛИЦ В ЕРМАК4;100
S_MAKE4;СПРАВОЧНИК ПРОИЗВ-ВА В ЕРМАК4;100
S_MAR_TL;МАРКИ ТЕЛЕФОННЫХ УСТРОЙСТВ;100
S_MER4;МЕРЫ НАКАЗАНИЯ В ЕРМАК4;100
S_MEREXP;МЕРЫ ПРЕСЕЧЕНИЯ ДЛЯ ЭКСПОРТА;100
S_MSTVID;СПРАВОЧНИК МЕСТ ВЫДАЧИ ПАСП.;100
S_NATEXP;НАЦИОНАЛЬНОСТИ ДЛЯ ЭКСПОРТА;100
S_OKR4;ОКРАСКА В ЕРМАК4;100
S_ORG4;ТИПЫ ОРГАНИЗАЦИЙ В ЕРМАК4;100
S_OSN_PR;СПРАВОЧНИК ОСНОВ.ПРОВЕР.ПРОКУР;10
S_OSOB4;ОСОБЕННОСТИ ВНЕШНОСТИ В ЕРМАК4;100
S_OSOBV4;ОСОБЕННОСТИ ВЕЩЕЙ В ЕРМАК4;100
S_OVDDOP;ДОПОЛНИТЕЛЬНОЕ ПОДЧИНЕНИЕ;0
S_PODR4;ПОДРАЗДЕЛЕНИЯ В ЕРМАК4;100
S_POHOJ4;"СПРАВОЧНИК ""ПОХОЖ НА"" В ЕРМАК4";100
S_POLA4;СПРАВОЧНИК ПОЛА В ЕРМАК4;100
S_POVED4;ОСОБЕННОСТИ ПОВЕДЕНИЯ В ЕРМАК4;100
S_PRHEXP;ПРИЧИНЫ РОЗЫСКА ДЛЯ ЭКСПОРТА;100
S_PRIM4;ПРИМЕТЫ В ЕРМАК4;100
S_PR_EXP;НАСТРОЙКА ПРОТОКОЛА ЭКСПОРТА;0
S_P_DAKT;ПРИЧИНЫ ДАКТИЛОСКОПИРОВАНИЯ;100
S_P_RESH;СПРАВОЧНИК РЕШЕНИЙ ПРОКУРОРА;100
S_RASP4;РАСПОЛОЖЕНИЯ В ЕРМАК4;100
S_RELAT4;ТИПЫ СВЯЗЕЙ В ЕРМАК4;100
S_RGBEXP;РЕГИОНЫ РОЖДЕНИЯ В ЭКСПОРТАХ;100
S_ROSTA4;СПРАВОЧНИК РОСТА В ЕРМАК4;100
S_ROZEXP;ВИДЫ РОЗЫСКА ДЛЯ ЭКСПОРТА;100
S_SLOV24;ГОСУДАРСТВА В ЕРМАК4;100
S_SLOV34;СУБЪЕКТЫ В ЕРМАК4;100
S_SOSTOR;СПРАВОЧНИК СОСТОЯНИЙ ОРУЖИЯ;100
S_TIPAIP;ТИПЫ ОРУЖИЯ В АИПС;100
S_TLSL4;ТЕЛОСЛОЖЕНИЕ В ЕРМАК4;100
S_TPORJ4;ТИПЫ ОРУЖИЯ В ЕРМАК4;0
S_TRIAD;МОДЕЛИ ОРУЖИЯ В ЕРМАК4;100
S_VID4;ВИДЫ ДЕЛ В ЕРМАК4;0
S_VIDAIP;ВИДЫ ОРУЖИЯ В АИПС;100
S_VIDOR4;ВИДЫ ОРУЖИЯ В ЕРМАК4;0
S_V_PATR;СПРАВОЧНИК ВИДОВ ПАТРУЛЯ;100
TAB_PODR;ПРАВА ПОДРАЗДЕЛЕНИЙ НА ТАБЛИЦЫ;0
TO_OTHER;ДАННЫЕ РЕГИСТРАЦИИ ПО М/Ж;100
GR_OPKND;ГРУППЫ ВИДОВ ОПЕРАЦИЙ;100
IZM_SOST;ИЗМЕНЕНИЕ СОСТОЯНИЯ ОРУЖИЯ;10
RESH_ALG;АЛГОРИТМЫ К РЕШЕНИЯМ СОБЫТИЙ;10
DOC_IZ;ИЗЪЯТИЕ, СДАЧА ДОКУМЕНТОВ;100
SN_KOM;КОМИССИЯ ПО НЕДЕЙСТВИТ.ПАСП.;100
S_STUK4;СТАТЬИ В ЕРМАК4;100
ADMVESCH;ИЗЪЯТЫЕ ВЕЩИ ПО АДМПРОТОКОЛУ;10
S_TPKPP;СПРАВОЧНИК ТИПОВ КПП;100
S_INCOME;СПРАВОЧНИК ДОХОДОВ В БЮДЖЕТ;100
ADM_INC;НАСТРОЙКА УЧЕТА ДОХОДОВ;0
SO_PATRL;СПИСОК ПАТРУЛЕЙ;10
S_PRICH4;ПРИЧИНЫ ЗАВЕДЕНИЯ В ЕРМАК4;100
S_RESH4;СПРАВОЧНИК РЕШЕНИЙ В ЕРМАК4;100
OK_VD_OR;ОКРАСКА ПО ВИДУ ОРУЖИЯ;10
ORL_ORBL;СООТВЕТСТ.ПРИНАДЛ.КЕМ УТРАЧЕНО;10
S_ROD_M1;СООТВЕТСТВИЕ РОДСТВА МИГРАНТУ1;100
GR_RELAT;ГРУППЫ СВЯЗЕЙ;100
S_ORG_M1;ОФИЦИАЛЬНЫЕ ОРГАНЫ В МИГРАНТ-1;100
EXP_INC;ЭКСПОРТ ПОСТУПЛЕНИЙ В БЮДЖЕТ;0
SKU_VESH;СПРАВОЧНИК ВЕЩЕЙ ИПК-В В КУ;10
STR_KOAP;ШТРАФЫ ПО КОАП;10
LAYOUTS;РЕЕСТР ПРЕДСТАВЛЕНИЯ ЛИСТАЛОК;1
KU_DOP_V;ПРОТОКОЛ ОШИБОК К ИПК-В;10
KU_IPK_V;ИПК-В НА НОМЕРНУЮ ВЕЩЬ;10
KU_PRIMV;ОСОБЫЕ ПРИМЕТЫ ВЕЩИ;10
S_REGION;СПРАВОЧНИК РЕГИОНОВ МВД;10
S_PRIUST;ПРИЧИНЫ УСТАНОВКИ ТС;10
S_PRPREK;ПРИЧИНЫ ПРЕКРАЩЕНИЯ РОЗЫСКА ТС;10
S_OBNAR;КЕМ ОБНАРУЖЕНО ТС;10
TR_P_ROZ;РОЗЫСК ТРАНСПОРТА;10
SKU_SOST;СПРАВОЧНИК СОСТОЯН.КАРТОЧЕК КУ;10
SKU_65V;СООТВ.СПР.УЧЕТА С КУ ИПК-В;10
SKU_33V;СООТВ.СПР.ДЕЛ С КУ ИПК-В;10
SKU_VSV;СООТВ.СПР.ВЕЩЕЙ С КУ ИПК-В;10
SKU_NRAD;КАТЕГОРИИ ОБЪЕКТА ИПК-В В КУ;10
SKU_065;СПРАВОЧНИК УЧЕТА ИПК-В В КУ;10
SKU_033;СПРАВОЧНИК ДЕЛ ИПК-В В КУ;10
SKU_063;СПРАВОЧНИК ПРОИЗВОДСТВА В КУ;10
SKU_066;СПРАВОЧНИК ОСОБЕННОСТЕЙ В КУ;10
SKU_OSSN;СПР.ОСНОВАНИЙ СНЯТИЯ С УЧЕТА;10
ADM_IG;АДМПРОТОКОЛЫ ИНОСТРАНЦЕВ;100
CH_REG;ДАННЫЕ О РЕГИСТРАЦИИ ДЕТЕЙ;100
KU_AUTO;ИК НА РАЗЫСКИВАЕМОЕ ТС;10
KU_ORUJ;ИК НА РАЗЫСКИВАЕМОЕ ВООРУЖЕНИЕ;10
KU_ROZLC;ФЕДЕРАЛЬНЫЙ РОЗЫСК (ФР-ЛИЦ);10
KU_PCR_I;"ПРЕСТУПЛЕНИЕ ""КРИМИНАЛ-И""";10
INFO_DOP;ПРИМЕЧАНИЕ ТЕКУЩЕГО ОВД К ОИ;3
S_PRF_AC;СПРАВОЧНИК ПРОФ. МЕРОПРИЯТИЙ;100
PROFWORK;ПРОФИЛАКТИКА;100
EXP_AIPS;"ПРОТОКОЛ ЭКСПОРТА АИПС""ОРУЖИЕ""";10
AIPSKEYS;"КЛЮЧЕВЫЕ АТРИБУТЫ АИПС""ОРУЖИЕ""";10
S_DTSTS;СПРАВОЧНИК СОСТОЯНИЙ ДАННЫХ;10
SIST_VID;ВИДЫ СОБЫТИЙ СИСТЕМЫ;0
SIST_OKR;ОКРАСКА ВИДА СОБЫТИЯ СИСТЕМЫ;0
K_RELAT;УНИКАЛЬНЫЙ КЛЮЧ A_RELAT;0
K_AV_OP;УНИКАЛЬНЫЙ КЛЮЧ AV_P_OP;0
K_LC_PRF;УНИКАЛЬНЫЙ КЛЮЧ LC_D_PRF;0
K_OB_OKR;УНИКАЛЬНЫЙ КЛЮЧ OB_P_OKR;0
K_OB_DTF;УНИКАЛЬНЫЙ КЛЮЧ OB_P_DTF;0
K_OI_REA;УНИКАЛЬНЫЙ КЛЮЧ OI_P_REA;0
K_OR_OS;УНИКАЛЬНЫЙ КЛЮЧ OR_P_OS;0
K_PSVDOS;УНИКАЛЬНЫЙ КЛЮЧ PSVD_OSB;0
K_RIFLIN;УНИКАЛЬНЫЙ КЛЮЧ RIFLING;0
K_RIGHTS;УНИКАЛЬНЫЙ КЛЮЧ RIGHTS;0
K_SB_NAR;УНИКАЛЬНЫЙ КЛЮЧ SB_NARK;0
K_SBUCH;УНИКАЛЬНЫЙ КЛЮЧ SB_UCHAS;0
K_SB_VES;УНИКАЛЬНЫЙ КЛЮЧ SB_VESCH;0
K_SUD_ST;УНИКАЛЬНЫЙ КЛЮЧ SUD_STAT;0
K_VES_OS;УНИКАЛЬНЫЙ КЛЮЧ VES_P_OS;0
K_VN_OS;УНИКАЛЬНЫЙ КЛЮЧ VN_OSOB;0
K_VNPRIM;УНИКАЛЬНЫЙ КЛЮЧ VN_PRIM;0
K_RODST;УНИКАЛЬНЫЙ КЛЮЧ LC_RODST;0
K_LCSOTR;УНИКАЛЬНЫЙ КЛЮЧ LC_SOTR;0
K_OUTPUT;УНИКАЛЬНЫЙ КЛЮЧ OUTPUTIN;0
K_CROPAR;УНИКАЛЬНЫЙ КЛЮЧ CR_OP_AR;0
K_CROPOB;УНИКАЛЬНЫЙ КЛЮЧ CR_OP_OB;0
K_OWNER;УНИКАЛЬНЫЙ КЛЮЧ OB_OWNER;0
K_LC_KPP;УНИКАЛЬНЫЙ КЛЮЧ LC_KPP;0
K_PS_COV;УНИКАЛЬНЫЙ КЛЮЧ PSVD_COV;0
K_ADMOKR;УНИКАЛЬНЫЙ КЛЮЧ ADM_OKR;0
K_CONPAS;УНИКАЛЬНЫЙ КЛЮЧ CONT_PAS;0
K_CONPRD;УНИКАЛЬНЫЙ КЛЮЧ CONT_PRD;0
K_OB_NCK;УНИКАЛЬНЫЙ КЛЮЧ OB_P_NCK;0
K_SBLIN;УНИКАЛЬНЫЙ КЛЮЧ SB_LINOT;0
K_SBRAS;УНИКАЛЬНЫЙ КЛЮЧ SB_RASKR;0
K_SBPAS;УНИКАЛЬНЫЙ КЛЮЧ SB_PASS;0
K_AMMOKR;УНИКАЛЬНЫЙ КЛЮЧ AMM_OKR;0
K_TABRTS;УНИКАЛЬНЫЙ КЛЮЧ TAB_RTS;0
K_IVSADV;УНИКАЛЬНЫЙ КЛЮЧ IVS_ADV;0
K_IVSMOV;УНИКАЛЬНЫЙ КЛЮЧ IVS_MOV;0
K_IVSSOT;УНИКАЛЬНЫЙ КЛЮЧ IVS_SOTR;0
K_IVSST;УНИКАЛЬНЫЙ КЛЮЧ IVS_STAT;0
K_ORACT;УНИКАЛЬНЫЙ КЛЮЧ OR_ACTIV;0
K_ADMNAR;УНИКАЛЬНЫЙ КЛЮЧ ADM_NARK;0
K_BANKSC;УНИКАЛЬНЫЙ КЛЮЧ BANK_SCH;0
K_TELTRF;УНИКАЛЬНЫЙ КЛЮЧ TEL_TRAF;0
K_SOSPAT;УНИКАЛЬНЫЙ КЛЮЧ SOST_PAT;0
K_ADMVES;УНИКАЛЬНЫЙ КЛЮЧ ADMVESCH;0
RECIDS5;ГЛАВНЫЕ КЛЮЧИ НОВОГО ТИПА;10
K_LC_OSV;УНИКАЛЬНЫЙ КЛЮЧ LC_P_OSV;0
S_CELVIZ;СПРАВОЧНИК ЦЕЛЕЙ ВЪЕЗДА ИГ;100
KU_PIPKV;ИМПОРТ\ЭКСПОРТ ИПК-ВЕЩЬ;10
STAT_SIS;ИДЕНТИФИКАЦИЯ ПОЛЬЗОВАТЕЛЯ;0
RIGHT_KR;ПРАВА ДЛЯ ПРОГРАММЫ КРИМ.УЧЕТ;0
ETN_SOST;ЭТНИЧЕСКИЙ СОСТАВ;3
S_BAND4;ХАРАКТЕРИСТИКИ ОПФ В ЭКСПОРТАХ;100
GR_BAND;ГРУППЫ ОПФ;100
KU_STUD;СТАТЬИ УД ПРЕСТУПЛЕНИЕ КРИМ-И;10
SKU_TPDC;СПРАВОЧНИК ТИПОВ ДОКУМЕНТОВ КУ;10
S_BEL4;ПРИНАДЛЕЖН. ВЕЩИ В ЭКСПОРТАХ;100
VES_RAR;АНТИКВАРИАТ;100
S_BELONG;СПРАВОЧНИК ПРИНАДЛЕЖНОСТИ ВЕЩИ;100
S_GROKR;ГРУППЫ ОКРАСКИ;100
SKU_STPD;СООТВЕТСТВИЕ ТИПОВ ДОКУМЕНТ КУ;10
SKU_CELV;СПРАВОЧНИК ЦЕЛЕЙ ВЪЕЗДА КУ;10
SKUMOKR;СООТВЕТСТВИЕ МЕСТ ПРОИСШ КУ;10
SKU_PODS;СПРАВОЧНИК ПОДСЛЕДСТВЕН.КРИМ-И;10
SKUPODSL;СООТВ.ПОДСЛЕДСТВЕННОС.КРИМ-И;10
SKU_037;СПРАВОЧНИК МЕР ПРЕСЕЧЕНИЯ КУ;10
SKU037;СООТВ.МЕР ПРЕСЕЧЕНИЯ КУ;10
SKU_RESH;СПРАВОЧНИК РЕШЕНИЙ ПО УД В КУ;10
SKU_PSLJ;СПРАВОЧНИК НАИМ.ОРГАНА КРИМ-И;10
SKU_PRSL;СООТВ.НАИМ.ОРГАНА С КРИМ-И;10
SKU_OKRS;СПРАВОЧНИК ВИДОВ ПРОИСШ.КРИМ-И;10
SKU_SOKR;СООТВ.СПРАВОЧ.ОКРАСКИ С КРИМ-И;10
SKU_SUB;СТРАНА, РЕСП,СУБЪЕКТ РФ КУ;10
SKU_RSUB;СООТВ.РЕГИОНОВ РОЖДЕНИЯ КРИМ-И;10
SKU_GSUB;СООТВ.ГОСУДАРСТВ КРИМ-И;10
SKU_OSUB;СООТВЕТСТВИЕ СУБЪЕКТОВ КРИМ-И;10
SKU_STAT;СПРАВОЧНИК СТАТУСОВ ИГ КРИМ-И;10
SKU_TYPO;СПРАВОЧНИК ТИПА ОРГАНИЗ.КРИМ-И;10
SKU_045;СПРАВОЧНИК ОТНОШ.К КУСП КРИМ-И;10
SKU_S045;СООТВЕТСТВИЕ СВЯЗИ С КУСП КУ;10
SKU_POKR;СПРАВОЧНИК ПРЕДМЕТОВ КРИМ-И;10
SKUPOKR;СООТВЕТСТВИЕ ПРЕДМЕТОВ КУ;10
KU_PREDM;ПРЕДМЕТ ПРЕСТУП.ПОСЯГАТ-ВА КУ;10
SKU_MOKR;СПРАВОЧНИК МЕСТ ПРОИСШ КРИМ-И;10
KU_DOPFR;ПРОТОКОЛ ОШИБОК К ФР-ЛИЦ;10
KU_PFRLC;ИМПОРТ\ЭКСПОРТ ФР-ЛИЦ;10
KU_HISFR;ИСТОРИЯ ФР-ЛИЦ;10
KU_PCIPR;ИМПОРТ\ЭКСПОРТ ПРЕСТУПЛ.КРИМ-И;10
KU_DOPPR;ПРОТОКОЛ ОШИБОК К ПРЕСТ.КРИМ-И;10
KU_HISPR;"ИСТОРИЯ ПРЕСТУПЛЕНИЕ ""КРИМ-И""";10
SKU_KTFR;КАТЕГОРИИ РАЗЫСКИВАЕМЫХ ЛИЦ КУ;10
SKU_036;СООТВ.СПР.ПРИЧИН КАТЕГОР ФР КУ;10
KU_STOBV;СТАТЬИ ОБВИНЕНИЯ ЛИЦА В ФР КУ;10
SKU_ORLS;СПРАВОЧНИК КЕМ УТРАЧ ИК-ОРУЖИЕ;10
SKU_ORBL;СПРАВОЧ.ПРИНАДЛ.УТРЧ.ИК-ОРУЖИЕ;10
SKUORBLN;СООТВЕТ.ПРИНАДЛ.УТРЧ.ИК-ОРУЖИЕ;10
S_VIZC4;ЦЕЛИ ВЪЕЗДА ИГ В ЭКСПОРТАХ;100
S_ADST4;СТАТЬИ КОАП В ЭКСПОРТАХ;100
KU_HISTC;ИСТОРИЯ ИК-ТС;10
KU_HISV;ИСТОРИЯ ИПК-В;10
KU_DOPOR;ПРОТОКОЛ ОШИБОК К ИК-ОРУЖИЕ;10
KU_HISOR;ИСТОРИЯ ИК-ОРУЖИЕ;10
KU_PORUJ;ИМПОРТ\ЭКСПОРТ ИК-ОРУЖИЕ;10
SKU_33A;СООТВ.СПР.ДЕЛ С КУ ИК-ТС;10
SKU_65A;СООТВ.СПР.УЧЕТА С КУ ИК-ТС;10
SKU_84A;СООТВ.СПР.ПОВОДА С КУ ИК-ТС;10
SKU_MPOK;СООТВ.МЕСТ ПРЕСТУПЛ С КУ ИК-ТС;10
SKU_ASLJ;СООТВ.ПОДРАЗДЕЛЕНИЙ С КУ ИК-ТС;10
SKU_PRPR;ПРИЧИНЫ ПРЕКРАЩ.РОЗЫСКА ИК-ТС;10
SKU_65OR;СООТВ.СПР.УЧЕТА С КУ ИК-ОРУЖИЕ;10
SKUORLOS;СООТВ.КЕМ УТРАЧ С КУ ИК-ОРУЖИЕ;10
SKU033OR;СПРАВОЧНИК ДЕЛ ИК-ОРУЖИЕ В КУ;10
SKU_33OR;СООТВ.СПР.ДЕЛ С КУ ИК-ОРУЖИЕ;10
SKU_PROR;ПРИЧИНЫ ПРЕКРАЩ.РОЗЫСК ИК-ОРУЖ;10
SKU062;СПРАВОЧНИК ВИДОВ ОРУЖИЯ В КУ;10
SKUORDET;СПРАВОЧНИК ДЕТАЛЕЙ ОРУЖИЯ В КУ;10
SKU_62;СООТВ.СПР.ВИДОВ ОРУЖИЯ С КУ;10
SKU_DET;СООТВ.СПР.ДЕТАЛЕЙ ОРУЖИЯ С КУ;10
SKU065OR;СПРАВОЧНИК УЧЕТА ИК-ОРУЖИЕ КУ;10
SIST_SOB;СОБЫТИЯ СИСТЕМЫ;0
S_OKRSIS;СПРАВОЧНИК ОКРАСКИ ВИДА СОБЫТ.;0
S_OKRKAT;СПРАВОЧНИК КАТЕГ. ОКРАСКИ СОБ.;0
S_PROGR;СПРАВОЧНИК ПРОГРАММ;0
SIS_PROT;ИМПОРТ\ЭКСПОРТ ДАННЫХ СИСТЕМЫ;0
KU_PAUTO;ИМПОРТ\ЭКСПОРТ ИК-ТС;10
BINDATA;ДОПОЛНИТ. ПАРАМЕТРЫ ПОДРАЗД.;0
KU_DOPTC;ПРОТОКОЛ ОШИБОК К ИК-ТС;10
KU_MESPR;МЕСТО ПРЕСТУПЛЕНИЯ ИК-ТС КУ;10
KU_MOTH;МОТИВЫ ХИЩЕНИЯ,УГОНА ИК-ТС КУ;10
KU_OCHEV;ОЧЕВИДЦЫ ИК-ТС КУ;10
KU_PRIZ;ПРИЗНАКИ ПРЕСТУПЛЕНИЯ ИК-ТС;10
KU_SOSTT;СОСТОЯНИЕ ТС ПЕРЕД ХИЩЕНИЕМ;10
KU_SPLG;СПОСОБЫ ЛЕГАЛИЗАЦИИ ИК-ТС КУ;10
KU_SPMS;СПОСОБЫ МАСКИРОВКИ ИК-ТС КУ;10
K_CH_DOC;УНИКАЛЬНЫЙ КЛЮЧ CH_DOC;0
K_DOC_IZ;УНИКАЛЬНЫЙ КЛЮЧ DOC_IZ;0
K_LCWORK;УНИКАЛЬНЫЙ КЛЮЧ LC_WORK;0
K_LCZAGS;УНИКАЛЬНЫЙ КЛЮЧ LC_ZAGS;0
K_LC_ISP;УНИКАЛЬНЫЙ КЛЮЧ LC_P_ISP;0
K_LDOHOD;УНИКАЛЬНЫЙ КЛЮЧ LC_DOHOD;0
K_LVIEZD;УНИКАЛЬНЫЙ КЛЮЧ LC_VIEZD;0
K_PARENT;УНИКАЛЬНЫЙ КЛЮЧ PARENTS;0
K_SNBL;УНИКАЛЬНЫЙ КЛЮЧ SNYATBL;0
K_SNTDOC;УНИКАЛЬНЫЙ КЛЮЧ SNYATDOC;0
K_SN_KOM;УНИКАЛЬНЫЙ КЛЮЧ SN_KOM;0
K_TOCHIL;УНИКАЛЬНЫЙ КЛЮЧ TO_CHILD;0
K_TO_DOC;УНИКАЛЬНЫЙ КЛЮЧ A_TO_DOC;0
OBJ_AIPS;СПИСОК ОБЪЕКТОВ ПОСЫЛКИ АИПС;100
PRT_NALG;ПРОТОКОЛ ПРИЕМА ДАННЫХ ИЗ ФНС;100
SKU033A;СПРАВОЧНИК ДЕЛ ИК-ТС В КУ;10
SKU065A;СПРАВОЧНИК УЧЕТА ИК-ТС В КУ;10
SKU084A;СПРАВОЧНИК ПОВОДОВ ИК-ТС В КУ;10
SKUPRIZN;СПРАВОЧНИК ПРИЗНАКА КАРТОЧК КУ;10
SKU_AKTG;КАТЕГОРИИ ОБЪЕКТА ИК-ТС В КУ;10
SKU_BOOL;"СПРАВОЧНИК ""ДА/НЕТ"" В КУ";10
SKU_CVK;ГРУППА ЦВЕТА КУЗОВА ТС В КУ;10
SKU_CVZ;ЦВЕТА ФОНА ЗНАКА ТС В КУ;10
SKU_INSC;СПР.ИНСЦЕНИРОВКИ ХИЩЕНИЯ ТС КУ;10
SKU_KTTC;СПРАВОЧНИК КАТЕГОРИЙ ТС В КУ;10
SKU_MOTH;СПР.МОТИВЫ ХИЩЕНИЯ,УГОНА ТС КУ;10
SKU_MPRE;СПР. МЕСТ ПРЕСТУПЛЕНИЯ В КУ;10
SKU_NALC;СПРАВОЧНИК НАЛИЧИЯ ИК-ТС В КУ;10
SKU_OBNR;СПР.КЕМ ОБНАРУЖЕНО ТС В КУ;10
SKU_OCHV;СПРАВОЧНИК ОЧЕВИДЦЕВ В КУ;10
SKU_PRIU;ПРИЧИНЫ УСТАНОВКИ ИК-ТС В КУ;10
SKU_PRZN;СПР.ПРИЗНАКОВ ПРЕСТУПЛЕН ИК-ТС;10
SKU_PVOZ;ПРИЧИНЫ ВОЗБУЖДЕНИЯ ИК-ТС В КУ;10
SKU_REZR;РЕЗУЛЬТАТЫ РАССЛЕДОВАНИЯ В КУ;10
SKU_SLJ;СПРАВОЧНИК ЛИНИЙ РАБОТЫ В КУ;10
SKU_SPHU;СПР.СПОСОБ ХИЩЕНИЯ,УГОНА ТС КУ;10
SKU_SPLG;СПР.СПОСОБ ЛЕГАЛИЗАЦИИ ТС В КУ;10
SKU_SPMS;СПР.СПОСОБ МАСКИРОВКИ ТС В КУ;10
SKU_SPPR;СПР.СПОСОБ ПРОНИКНОВЕН.В ТС КУ;10
SKU_STTC;СПРАВОЧНИК СОСТОЯНИЙ ТС В КУ;10
S_KODSLJ;СПРАВОЧНИК КОДОВ СЛУЖБ, ОВД;10
S_STMAIL;СПРАВОЧНИК СОСТОЯНИЙ ПОСЫЛКИ;0
TO_PHOTO;ФОТО К ТО;100
ADM_ADM;АДМПРОТОКОЛЫ ЗА НЕВЫПОЛНЕНИЕ;100
AIPS_ERR;СОДЕРЖАНИЕ ОШИБОК АИПС;100
AIPSGUNS;СОСТОЯНИЕ ОРУЖИЯ В АИПС;10
EMPLINFO;КЛЮЧЕВЫЕ АТРИБУТЫ СОТРУДНИКА;10
GR_PSN;ГРУППЫ ПРИЧИН ИЗЪЯТИЯ ДОКУМ.;100
KBK_KOAP;ПЕРЕЧЕНЬ КБК ПО ГРУППЕ СТ.КОАП;10
OUTPASS;ЗП ГР-Н, ПРОЖИВАЮЩИХ В АБХАЗИИ;3
OVD_M1;СОПОСТАВ. ОРГАНОВ С МИГРАНТ-1;0
S_AIPS_L;СПРАВОЧНИК УРОВНЕЙ ОТКАЗА АИПС;100
S_SIGNAL;СПРАВОЧНИК ВИДОВ СИГНАЛОВ;100
S_STAIPS;СПРАВОЧНИК СОСТОЯНИЙ В АИПС;100
SKU_PINS;СПРАВОЧНИК МЕСТ ВВОДА;10
TO_RFREG;ДАННЫЕ РЕГИСТРАЦИИ В РФ;100
EXP_PASP;ПРОТОКОЛ ЭКСПОРТА ПАСПОРТОВ;100
S_ACT;СПРАВОЧНИК ВИДОВ ДЕЙСТВИЙ;100
SB_ADMN;НОМЕР СОБЫТИЯ В ЖУР.АДМПР-СТВА;10
SO_AJRN;СПИСОК ЖУРНАЛОВ АДМНАРУШЕНИЙ;10
ADM_EXEC;ИСПОЛНИТЕЛЬНОЕ ПРОИЗВОДСТВО;100
BL_DFCT;СВЕДЕНИЯ О ПОРЧЕ БЛАНКОВ;100
FILE_KV;ФАЙЛЫ КВИТАНЦИЙ СВЕРКИ С АС РП;100
FILE_REV;ФАЙЛЫ СВЕРКИ;100
GRDOCSTS;ГРУППЫ СОСТОЯНИЙ ДОКУМЕНТА;100
OB_FILE;ФАЙЛ-ДОКУМЕНТЫ К ОБЪЕКТАМ;100
OB_VERIF;ПРОВЕРКА ДАННЫХ ОБЪЕКТОВ УЧЕТА;100
REK_REV;РЕКВИЗИТЫ ФОРМАТОВ АС РП;100
REV_DATA;ДАННЫЕ СКОБОЧНОГО ФОРМАТА;100
REV_FLK;ВАРИАНТЫ ВЫГРУЗКИ ДЛЯ ФЛК;100
REVISE;ДАННЫЕ СВЕРКИ С АС РП;100
REVISE_1;ВРЕМЕННЫЕ ДАННЫЕ АС РП;100
REZ_REV;РЕЗУЛЬТАТЫ СВЕРКИ;100
S_AS_RP;СПРАВОЧНИК ФОРМАТОВ АС РП;100
S_EXE_AC;СПРАВОЧНИК ВИДОВ ИСП.ДЕЙСТВИЙ;100
S_EXE_PR;ПРИЧИНЫ ОКОНЧАНИЯ ИСП.ПРОИЗ-ВА;100
S_MSTV4;МЕСТА ВЫДАЧИ ПАСПОРТА В ЕРМАК4;100
S_REG_PL;СООТВ.РЕГИОНОВ РОЖД. ПИЛИГРИМУ;100
S_RESIMP;СПРАВОЧНИК РЕЗУЛЬТ. ЗАГРУЗКИ;100
S_RESREV;СПРАВОЧНИК РЕЗУЛЬТАТОВ СВЕРКИ;100
S_RIGSPR;ПРАВА НА ВЫДЕЛЕН. СПРАВОЧНИКОВ;100
S_SNEXP;ПРИЧИНЫ ИЗЪЯТИЯ В ЭКСПОРТАХ;100
S_SOGEXP;СОГ/ГНР В ЭКСПОРТАХ;100
S_UNITS;ИЕРАРХИЯ СТРУКТУРЫ ПОДРАЗДЕЛЕН;100
S_VIDREV;СПРАВОЧНИК ВИДОВ СВЕРКИ;100
S_ZVNEXP;ЗВАНИЯ В ЭКСПОРТАХ;100
SKU_HELP;УСТАНОВЛЕН С ПОМОЩЬЮ В ФР-ЛИЦ;10
SKU_KEMZ;СПРАВОЧНИК КЕМ ЗАДЕРЖАН ФР-ЛИЦ;10
SKU_PRLC;ПРИЧИНЫ ПРЕКРАЩ.РОЗЫСКА ФР-ЛИЦ;10
SKU_REPB;СПРАВОЧНИК УК РЕСПУБЛИКИ В КУ;10
STAT_JID;JID В СИСТЕМЕ ОБМЕНА СООБЩЕН.;0
TO_RECPT;КВИТАНЦИЯ О ЗАГРУЗКЕ В АС РП;100
TO_REVIS;ОТМЕТКА О СВЕРКЕ С АС РП;100
TO_VERIF;ПРОВЕРКА ДАННЫХ ТО;100
ZON_SOTR;ЗОНАЛЬНЫЕ СОТРУДНИКИ;10
S_KPMDIR;НАПРАВЛЕНИЯ ПЕРЕСЕЧЕНИЯ КПМ;100
DETENREG;РЕЕСТР ЗАДЕРЖАННЫХ;100
